Delegation info:
Total delegated subgraphs: 1
Number of delegated nodes: 845
Number of non-delegated nodes: 9


Delegation table:
                                            op_type  occurrences_in_delegated_graphs  occurrences_in_non_delegated_graphs
                                    aten_add_tensor                                9                                    0
                                  aten_amax_default                                1                                    0
                                   aten_cat_default                               17                                    0
                           aten_convolution_default                               73                                    0
                                   aten_exp_default                                1                                    0
               aten_max_pool2d_with_indices_default                                3                                    0
                                    aten_mul_tensor                                5                                    0
                          aten_permute_copy_default                                1                                    0
                            aten_reciprocal_default                                2                                    0
                               aten_sigmoid_default                                2                                    0
                                  aten_silu_default                               62                                    0
                             aten_slice_copy_tensor                                2                                    0
                 aten_split_with_sizes_copy_default                                9                                    0
                                    aten_sub_tensor                                3                                    0
                              aten_sum_dim_int_list                                1                                    0
                        aten_upsample_nearest2d_vec                                2                                    0
                             aten_view_copy_default                               14                                    0
                                            getitem                               21                                    4
quantized_decomposed_dequantize_per_channel_default                              145                                    0
 quantized_decomposed_dequantize_per_tensor_default                              256                                    4
   quantized_decomposed_quantize_per_tensor_default                              216                                    1
                                              Total                              845                                    9
