Original Operator,NNG Operator,Target,Staging Usage,Peak% (Staging),Op Cycles,Network% (cycles),NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network% (MAC),Util% (MAC),Name
Conv2D,Conv2D,NPU,352064,57.50875542313523,76747,1.3478758578006513,76747,36471,51953,0,0,5419008,0.92286432412405,27.581534131627294,tosa_table_default
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default
Conv2D,Conv2D,NPU,306304,50.03397626888297,76100,1.3365128640680362,76100,19012,38281,0,0,14450688,2.4609715309974667,74.17608409986859,tosa_table_default_1
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_1
Conv2D,Conv2D,NPU,202528,33.082431655428366,51040,0.8963944360319653,51040,19600,38281,0,0,3211264,0.5468825624438814,24.57680250783699,tosa_table_default_2
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_2
Conv2D,Conv2D,NPU,153056,25.00130677957242,38381,0.6740696483021721,38381,6440,10937,0,0,7225344,1.2304857654987333,73.53638519058909,tosa_table_default_3
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_3
Conv2D,Conv2D,NPU,303616,49.59489833254926,38884,0.6829036295193366,38884,6468,10937,0,0,7225344,1.2304857654987333,72.58512498714124,tosa_table_default_4
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_4
Add,Add,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_concat_default
Concat,MemoryCopy,NPU,250880,40.98060739114526,25612,0.449812976011965,25612,4144,0,0,0,50176,0.008545040038185648,0.7652662814305794,tosa_concat_default
Concat,MemoryCopy,NPU,250880,40.98060739114526,25612,0.449812976011965,25612,4144,0,0,0,50176,0.008545040038185648,0.7652662814305794,tosa_concat_default
Conv2D,Conv2D,NPU,252960,41.32037007997491,38281,0.6723133896108868,25696,10535,38281,0,0,4816896,0.8203238436658222,49.15232099474935,tosa_table_default_5
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_5
Conv2D,Conv2D,NPU,170112,27.787360827975537,76474,1.3430812715734426,76474,18928,21874,0,0,14450688,2.4609715309974667,73.81332217485681,tosa_table_default_6
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_6
Conv2D,Conv2D,NPU,105024,17.15540222675239,21874,0.38416402613172435,13392,11172,21874,0,0,3211264,0.5468825624438814,57.34662155984274,tosa_table_default_7
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_7
Conv2D,Conv2D,NPU,85136,13.906748209711985,38942,0.683922259560282,38942,14700,5468,0,0,7225344,1.2304857654987333,72.47701710235735,tosa_table_default_8
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_8
Conv2D,Conv2D,NPU,110496,18.049239454288852,38739,0.680357054416973,38739,7637,5468,0,0,7225344,1.2304857654987333,72.85681096569348,tosa_table_default_9
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_9
Add,Add,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_rescale_default_21
